,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size
0,1,1,0.9982427269220352,0.6133333333333333,19.5118248462677,21.461575508117676,0.01,1000
1,1,2,0.5506035352746645,0.7886333333333333,18.332956314086914,39.9182014465332,0.01,1000
2,1,3,0.45395878901084263,0.8325666666666667,19.181687593460083,59.21258807182312,0.01,1000
3,1,4,0.3959426060318947,0.8556333333333334,19.720236778259277,79.06248664855957,0.01,1000
4,1,5,0.3640328774849574,0.8649,19.030092239379883,98.20527768135071,0.01,1000
5,1,6,0.34010889877875644,0.8729166666666667,19.237537384033203,117.5475344657898,0.01,1000
6,1,7,0.3256378983457883,0.8782833333333333,19.532748222351074,137.18799448013306,0.01,1000
7,1,8,0.31377456784248353,0.8829166666666667,19.192657232284546,156.48636889457703,0.01,1000
8,1,9,0.3051388770341873,0.8858166666666667,19.02410864830017,175.6142008304596,0.01,1000
9,1,10,0.2937299994130929,0.8891833333333333,19.068987607955933,194.7889051437378,0.01,1000
10,1,11,0.28654973531762756,0.8924666666666666,19.182684659957886,214.07232093811035,0.01,1000
11,1,12,0.2900461028019587,0.8911666666666667,18.950306177139282,233.13233256340027,0.01,1000
12,1,13,0.2823841407895088,0.89485,19.632471561431885,252.86354994773865,0.01,1000
13,1,14,0.26827395260334014,0.8998166666666667,19.359211921691895,272.33645725250244,0.01,1000
14,1,15,0.2610919897754987,0.90215,19.80003261566162,292.2451992034912,0.01,1000
15,1,16,0.2530931954582532,0.9053666666666667,19.681350469589233,312.04423475265503,0.01,1000
16,1,17,0.25333056673407556,0.90435,19.124831438064575,331.2747902870178,0.01,1000
17,1,18,0.25391341497500736,0.9034333333333333,19.233549118041992,350.6200408935547,0.01,1000
18,1,19,0.2499964083234469,0.9054833333333333,19.254492044448853,369.98024892807007,0.01,1000
19,1,20,0.24640321607391039,0.9066166666666666,18.98421549797058,389.0711796283722,0.01,1000
20,1,21,0.2430335948864619,0.9083,19.877824544906616,409.0587100982666,0.01,1000
21,1,22,0.24289867108066876,0.9084333333333333,20.78938603401184,429.95979714393616,0.01,1000
22,1,23,0.23585824072360992,0.91015,19.470913410186768,449.5404164791107,0.01,1000
23,1,24,0.23558704381187756,0.9104833333333333,20.507141828536987,470.1433024406433,0.01,1000
24,1,25,0.2368652731180191,0.9098833333333334,20.735530614852905,490.9905333518982,0.01,1000
25,1,26,0.2292549009124438,0.913,19.56366491317749,510.6828544139862,0.01,1000
26,1,27,0.22194634328285853,0.91505,19.61452889442444,530.408087015152,0.01,1000
27,1,28,0.21953029508392016,0.9163166666666667,19.49185824394226,550.0026700496674,0.01,1000
28,1,29,0.22080113192399342,0.9161333333333334,19.587599754333496,569.7019710540771,0.01,1000
29,1,30,0.21261731907725334,0.919,19.78307819366455,589.6057269573212,0.01,1000
30,1,31,0.21354897419611613,0.9189166666666667,19.747175216674805,609.4665973186493,0.01,1000
31,1,32,0.22112783193588256,0.9168166666666666,18.95429563522339,628.5305984020233,0.01,1000
32,1,33,0.2246366577843825,0.9153666666666667,19.29538321495056,647.9396767616272,0.01,1000
33,1,34,0.22407229617238045,0.9153,19.045053243637085,667.1064040660858,0.01,1000
34,1,35,0.21545379733045897,0.9192166666666667,19.52776050567627,686.7548415660858,0.01,1000
35,1,36,0.21563444460431735,0.9177833333333333,18.997180938720703,705.8627264499664,0.01,1000
36,1,37,0.21675718327363333,0.9169333333333334,18.98122262954712,724.9656233787537,0.01,1000
37,1,38,0.21163416678706806,0.9194333333333333,18.5443913936615,743.6277000904083,0.01,1000
38,1,39,0.20599930807948114,0.9208666666666666,19.160743236541748,762.9021396636963,0.01,1000
39,1,40,0.19780391852060955,0.9249,19.565659999847412,782.5745136737823,0.01,1000
